playerID,Total_Games,Games_Started,Games_Pitched,Games_Catcher,Games_First_Base,Games_Second_Base,Games_Third_Base,Games_Short_Stop,Games_Left_Field,Games_Right_Field,Games_Center_Field,Games_Out_Field,Games_DH
wardji01,1,NULL,0,1,0,0,0,0,0,0,0,0,0
reilljo01,1142,NULL,0,0,1075,0,0,1,27,24,27,78,0
easthu01,23,8,19,0,0,0,0,0,0,0,0,0,0
harpete01,540,359,0,0,0,0,0,0,313,123,4,423,15
wilsoal01,290,1,290,0,0,0,0,0,0,0,0,0,0
ramosed02,153,0,153,0,0,0,0,0,0,0,0,0,0
bickhda01,1,NULL,1,0,0,0,0,0,0,0,0,0,0
mcnamge01,3,3,0,0,0,0,0,0,0,3,0,3,0
bellga01,521,233,519,0,0,0,0,0,0,0,0,0,0
nagymi01,88,62,87,0,0,0,0,0,0,0,0,0,0
boltoto01,209,56,209,0,0,0,0,0,0,0,0,0,0
burgoen01,10,0,10,0,0,0,0,0,0,0,0,0,0
mcgovar01,15,NULL,0,15,0,0,0,0,0,0,0,0,NULL
goldero01,37,31,37,0,0,0,0,0,0,0,0,0,0
willski01,11,0,0,0,0,0,0,0,1,0,1,2,0
singtfr01,181,129,0,0,0,0,0,0,30,111,0,141,0
peskyjo01,1270,1147,0,0,0,140,459,589,0,0,0,0,0
odomda01,22,3,22,0,0,0,0,0,0,0,0,0,0
milleha02,7,1,0,7,0,0,0,0,0,0,0,0,0
stewabi01,11,3,0,0,0,0,0,0,4,2,0,6,0
braunjo01,1,0,1,0,0,0,0,0,0,0,0,0,0
maddoel01,1029,732,0,0,3,4,232,19,75,190,475,719,4
smithjo04,4,4,0,0,4,0,0,0,0,0,0,0,0
sprouch01,34,19,34,0,0,0,0,0,0,0,0,0,0
mclouna01,1045,791,0,0,0,0,0,0,293,89,555,900,4
brillji01,86,23,86,0,0,0,0,0,0,0,0,0,0
reidsc01,38,15,0,0,0,0,0,0,5,5,16,23,0
yettri01,136,49,136,0,0,0,0,0,0,0,0,0,0
towneba01,14,11,0,13,0,0,0,0,0,0,0,0,0
huntjo01,16,3,0,0,0,0,0,0,0,6,0,6,0
sloanbr01,59,16,0,0,0,0,0,0,3,18,0,21,0
kealest01,139,4,139,0,0,0,0,0,0,0,0,0,0
glynned01,175,8,175,0,0,0,0,0,0,0,0,0,0
degroja01,150,139,139,0,0,0,0,0,0,0,0,0,0
boyleji01,1,0,0,1,0,0,0,0,0,0,0,0,0
brookik01,3,0,3,0,0,0,0,0,0,0,0,0,0
haislji01,1,0,1,0,0,0,0,0,0,0,0,0,0
ramirmi01,94,41,0,0,0,11,13,71,0,0,0,0,0
freemmi01,57,14,1,0,3,12,3,12,1,1,0,2,3
graniza01,40,22,0,0,0,0,0,0,8,2,24,32,2
brookha01,1,NULL,1,0,0,0,0,0,1,0,0,1,0
lehrcl01,23,2,0,0,0,4,0,4,1,2,1,4,0
palmeed01,16,13,0,0,0,0,13,1,0,0,0,0,0
murphwa01,2,0,2,0,0,0,0,0,0,0,0,0,0
weigera01,106,55,0,66,0,0,0,0,2,0,0,2,0
swartpa01,51,NULL,48,0,0,0,0,0,1,1,2,4,0
brownji03,890,819,0,0,0,392,272,236,0,0,0,0,0
hoype01,5,0,5,0,0,0,0,0,0,0,0,0,0
reinech01,7,5,7,0,0,0,0,0,0,0,0,0,0
eversjo02,1,0,0,0,0,0,0,0,0,0,0,0,0
derripa01,579,445,579,0,0,0,0,0,0,0,0,0,0
ellisro01,64,45,0,0,0,0,20,0,10,21,0,30,10
perlosa01,12,7,0,0,0,12,1,0,0,0,0,0,0
mccarda01,632,351,3,0,368,0,0,0,103,80,2,177,22
hammeja01,384,297,377,0,0,0,0,0,0,0,0,0,0
andruel01,1476,1451,0,0,0,0,0,1453,0,0,0,0,20
leathha01,9,4,0,0,0,2,0,6,0,0,0,0,0
solisma01,15,4,15,0,0,0,0,0,0,0,0,0,0
beamotr01,95,27,0,0,0,0,0,0,22,17,0,38,11
duckwbr01,134,84,134,0,0,0,0,0,0,0,0,0,0
ludwiry01,1065,904,0,0,0,0,0,0,457,484,47,956,21
navarya01,79,43,0,0,0,12,22,22,11,2,0,13,0
formabi01,3,2,3,0,0,0,0,0,0,0,0,0,0
emmerbo01,13,6,0,0,0,0,0,0,0,0,8,8,0
wolfeed01,3,0,3,0,0,0,0,0,0,0,0,0,0
sheldbo01,94,65,0,0,0,52,0,0,0,0,0,0,27
gordobr01,5,2,5,0,0,0,0,0,0,0,0,0,0
snydebr03,122,40,0,1,33,0,28,0,7,5,0,12,7
quinlfr01,2,NULL,0,1,0,0,0,0,1,0,0,1,0
butlebr01,2213,2081,0,0,0,0,0,0,182,10,1987,2159,2
jennido01,189,66,0,0,28,0,0,0,58,22,0,77,10
walketo04,1288,1139,0,0,59,1007,83,1,2,0,0,2,51
