playerID,nameLast,nameFirst,yearid,inducted,category
aaronha01,Aaron,Hank,1982,Y,Player
alexape01,Alexander,Pete,1938,Y,Player
alomaro01,Alomar,Roberto,2011,Y,Player
ansonca01,Anson,Cap,1939,Y,Player
aparilu01,Aparicio,Luis,1984,Y,Player
applilu01,Appling,Luke,1964,Y,Player
ashburi01,Ashburn,Richie,1995,Y,Player
averiea01,Averill,Earl,1975,Y,Player
bagweje01,Bagwell,Jeff,2017,Y,Player
bakerfr01,Baker,Home Run,1955,Y,Player
bancrda01,Bancroft,Dave,1971,Y,Player
bankser01,Banks,Ernie,1977,Y,Player
becklja01,Beckley,Jake,1971,Y,Player
bellco99,Bell,Cool Papa,1974,Y,Player
benchjo01,Bench,Johnny,1989,Y,Player
bendech01,Bender,Chief,1953,Y,Player
berrayo01,Berra,Yogi,1972,Y,Player
biggicr01,Biggio,Craig,2015,Y,Player
blylebe01,Blyleven,Bert,2011,Y,Player
boggswa01,Boggs,Wade,2005,Y,Player
bottoji01,Bottomley,Jim,1974,Y,Player
boudrlo01,Boudreau,Lou,1970,Y,Player
bresnro01,Bresnahan,Roger,1945,Y,Player
brettge01,Brett,George,1999,Y,Player
brocklo01,Brock,Lou,1985,Y,Player
broutda01,Brouthers,Dan,1945,Y,Player
brownmo01,Brown,Mordecai,1949,Y,Player
brownra99,Brown,Ray,2006,Y,Player
brownwi02,Brown,Willard,2006,Y,Player
bunniji01,Bunning,Jim,1996,Y,Player
burkeje01,Burkett,Jesse,1946,Y,Player
camparo01,Campanella,Roy,1969,Y,Player
carewro01,Carew,Rod,1991,Y,Player
careyma01,Carey,Max,1961,Y,Player
carltst01,Carlton,Steve,1994,Y,Player
cartega01,Carter,Gary,2003,Y,Player
cepedor01,Cepeda,Orlando,1999,Y,Player
chancfr01,Chance,Frank,1946,Y,Player
charlos99,Charleston,Oscar,1976,Y,Player
chesbja01,Chesbro,Jack,1946,Y,Player
clarkfr01,Clarke,Fred,1945,Y,Player
clarkjo01,Clarkson,John,1963,Y,Player
clemero01,Clemente,Roberto,1973,Y,Player
cobbty01,Cobb,Ty,1936,Y,Player
cochrmi01,Cochrane,Mickey,1947,Y,Player
collied01,Collins,Eddie,1939,Y,Player
colliji01,Collins,Jimmy,1945,Y,Player
combsea01,Combs,Earle,1970,Y,Player
connoro01,Connor,Roger,1976,Y,Player
coopean99,Cooper,Andy,2006,Y,Player
covelst01,Coveleski,Stan,1969,Y,Player
crawfsa01,Crawford,Sam,1957,Y,Player
cronijo01,Cronin,Joe,1956,Y,Player
cuyleki01,Cuyler,Kiki,1968,Y,Player
dandrra99,Dandridge,Ray,1987,Y,Player
davisge01,Davis,George,1998,Y,Player
dawsoan01,Dawson,Andre,2010,Y,Player
dayle99,Day,Leon,1995,Y,Player
deandi01,Dean,Dizzy,1953,Y,Player
delahed01,Delahanty,Ed,1945,Y,Player
dickebi01,Dickey,Bill,1954,Y,Player
dihigma99,Dihigo,Martin,1977,Y,Player
dimagjo01,DiMaggio,Joe,1955,Y,Player
dobyla01,Doby,Larry,1998,Y,Player
doerrbo01,Doerr,Bobby,1986,Y,Player
drysddo01,Drysdale,Don,1984,Y,Player
duffyhu01,Duffy,Hugh,1945,Y,Player
eckerde01,Eckersley,Dennis,2004,Y,Player
