playerID,Seasons,Wins,Loses,Games,Games_Started,Complete_Games,Shut_Outs,Earned_Runs,Strike_Outs,Walks,Games_Finished,Runs_Allowed,Batters_Faced
aardsda01,9,16,18,331,0,0,0,160,340,183,141,169,1475
aasedo01,13,66,60,448,91,22,5,468,641,457,235,503,4730
abadfe01,9,8,27,363,6,0,0,129,271,113,96,137,1350
abbeybe01,6,22,40,79,65,52,0,285,161,192,14,442,2568
abbeych01,1,0,0,1,0,0,0,1,0,0,1,3,12
abbotda01,1,0,2,3,1,1,0,9,1,8,2,14,67
abbotgl01,12,62,83,248,206,37,5,627,484,352,13,707,5508
abbotji01,11,87,108,263,254,31,6,791,888,620,5,880,7211
abbotky01,4,4,17,57,22,0,0,107,124,79,4,112,815
abbotpa01,12,43,37,162,112,1,0,394,496,393,17,421,3187
aberal01,8,24,25,168,30,7,0,181,169,160,76,205,1698
abernbi01,1,0,0,1,0,0,0,3,0,1,1,3,10
abernte01,3,0,3,7,2,1,0,25,13,17,3,26,107
abernte02,17,63,69,681,34,7,2,441,765,592,416,513,4963
abernwo01,2,1,1,16,1,0,0,17,6,11,6,19,164
ablesha01,3,1,5,14,8,4,0,32,41,30,6,51,317
abramge01,1,0,0,3,0,0,0,5,1,3,1,5,24
abregjo01,1,1,1,6,5,0,0,17,13,12,0,18,109
abreuju01,1,0,0,7,0,0,0,2,12,3,2,2,34
abreuwi01,4,0,1,38,0,0,0,36,38,19,6,39,207
accarje01,10,10,20,262,0,0,0,136,205,111,115,143,1222
aceveal01,7,31,16,204,15,0,0,162,282,129,91,172,1599
acevejo01,5,18,25,104,59,1,0,235,253,113,11,246,1628
aceveju01,10,28,40,367,34,0,0,274,350,226,165,316,2488
achteaj01,3,2,1,45,0,0,0,27,33,21,22,30,267
ackerji01,12,33,49,467,32,0,0,399,482,329,159,447,3868
ackerto01,4,19,13,153,23,5,1,174,256,150,35,181,1629
acklefr01,2,1,0,5,4,0,0,9,17,11,1,10,84
acostcy01,4,13,9,107,0,0,0,55,109,77,74,65,768
acosted01,3,6,9,57,8,3,1,62,70,39,22,71,594
acostjo01,3,10,10,55,13,6,1,107,45,68,28,119,939
acostma01,6,13,13,233,0,0,0,110,219,117,78,122,1070
