playerID,Seasons,Hits,RBIs,Runs,Stolen_Bases,Strike_Outs,Home_Runs,Walks,Games,Triples,Doubles,Caught_Stealing,At_Bats,Intentional_Walks,Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Ground_Into_Double_Plays
aardsda01,9,0,0,0,0,2,0,0,331,0,0,0,4,0,0,1,0,0
aaronha01,23,3771,2297,2174,240,1383,755,1402,3298,98,624,73,12364,293,32,21,121,328
aaronto01,7,216,94,102,9,145,13,86,437,6,42,8,944,3,0,9,6,36
aasedo01,13,0,0,0,0,3,0,0,448,0,0,0,5,0,0,0,0,0
abadan01,3,2,0,1,0,5,0,4,15,0,0,1,21,0,0,0,0,1
abadfe01,9,1,0,0,0,5,0,0,363,0,0,0,9,0,0,0,0,1
abadijo01,2,11,5,4,1,3,0,0,12,0,0,0,49,NULL,NULL,NULL,NULL,0
abbated01,10,772,324,355,142,283,11,289,855,43,99,NULL,3044,NULL,33,93,NULL,NULL
abbeybe01,6,38,17,21,3,54,0,21,79,3,3,NULL,225,NULL,0,6,NULL,NULL
abbeych01,5,493,280,307,93,122,19,167,452,46,67,NULL,1756,NULL,23,19,NULL,NULL
abbotda01,1,1,1,0,1,NULL,0,0,3,1,0,NULL,7,NULL,0,NULL,NULL,NULL
abbotfr01,3,107,49,48,14,75,1,19,160,6,21,NULL,513,NULL,8,20,NULL,NULL
abbotgl01,12,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0
abbotje01,5,157,83,82,6,91,18,38,233,2,33,5,596,2,3,5,7,12
abbotji01,11,2,3,0,0,10,0,0,263,0,0,0,21,0,0,3,0,0
abbotku01,10,523,242,273,22,571,62,133,702,23,109,11,2044,11,17,21,12,37
abbotky01,4,3,2,2,0,19,0,1,57,0,1,0,31,0,0,6,0,0
abbotod01,1,13,6,2,3,20,0,6,22,1,2,NULL,70,NULL,0,6,NULL,NULL
abbotpa01,12,5,2,2,0,6,0,0,162,0,1,0,20,0,0,5,0,0
aberal01,8,14,6,5,0,41,0,8,168,0,0,0,100,0,0,8,1,2
abercda01,1,0,0,0,0,0,0,0,1,0,0,0,4,NULL,NULL,NULL,NULL,0
abercre01,3,86,34,65,18,123,9,21,180,2,20,8,386,2,7,5,2,3
abernbi01,1,0,0,0,0,0,0,0,1,0,0,0,1,NULL,0,0,NULL,0
abernbr01,5,212,79,97,21,93,8,60,232,5,36,7,868,1,7,16,4,15
abernte01,3,1,0,0,0,3,0,1,7,0,0,0,5,NULL,0,0,NULL,0
abernte02,17,25,9,12,0,74,0,6,681,0,3,0,181,0,2,15,0,4
abernwo01,2,0,0,0,0,4,0,0,16,0,0,0,8,0,0,0,0,0
aberscl01,3,45,26,25,0,44,5,25,63,3,7,NULL,179,NULL,0,0,NULL,6
ablesha01,3,0,0,0,1,11,0,0,14,0,0,NULL,26,NULL,0,0,NULL,NULL
abnersh01,7,191,71,89,6,153,11,43,392,4,39,8,840,10,7,5,7,14
abramca01,10,433,138,257,12,290,32,304,567,19,64,18,1611,2,7,16,4,22
abramge01,1,1,0,0,0,0,0,0,3,0,0,0,1,NULL,0,0,NULL,NULL
abregjo01,1,0,1,0,0,2,0,0,6,0,0,0,9,0,0,0,0,0
abreubo01,20,2470,1363,1453,400,1840,288,1476,2425,59,574,128,8480,115,33,7,85,165
abreujo01,1,6,3,4,0,4,1,4,9,0,1,NULL,28,NULL,0,0,NULL,1
abreujo02,5,858,488,398,8,624,146,209,742,13,180,3,2913,46,67,0,24,86
abreuju01,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
abreuto01,6,147,60,61,2,116,6,22,224,6,39,4,579,2,5,1,8,20
abreuwi01,4,0,0,0,0,1,0,0,38,0,0,0,2,0,0,0,0,0
abstebi01,3,150,76,54,21,75,1,29,170,10,22,NULL,619,NULL,4,29,NULL,NULL
accarje01,10,1,0,0,0,1,0,0,262,0,0,0,7,0,0,0,0,0
aceveal01,7,0,0,0,0,1,0,0,204,0,0,0,2,0,0,0,0,0
acevejo01,5,8,4,2,0,61,0,5,104,0,2,0,101,0,1,12,1,2
aceveju01,10,6,0,4,0,33,0,3,367,0,2,0,65,0,0,6,0,2
achteaj01,3,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
ackerji01,12,9,1,2,0,32,0,2,467,0,1,0,54,0,0,0,0,1
ackerto01,4,5,2,10,0,46,0,12,153,0,0,0,77,0,1,6,0,1
ackledu01,7,512,216,261,31,419,46,194,635,18,94,12,2125,10,5,11,12,25
acklefr01,2,2,1,0,0,4,0,1,5,0,1,0,6,0,0,0,0,0
acostcy01,4,0,0,0,0,6,0,0,107,0,0,0,7,0,0,0,0,0
acosted01,3,1,0,1,0,15,0,1,57,0,0,0,29,0,0,0,0,0
acostjo01,3,9,1,4,1,22,0,11,55,0,1,0,60,NULL,0,3,NULL,NULL
acostma01,6,0,0,0,0,4,0,1,233,0,0,0,6,0,0,0,0,0
acostme01,6,111,37,56,17,46,0,63,180,7,9,8,436,NULL,4,19,NULL,NULL
acrema01,4,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0
acunaro01,1,127,64,78,16,123,26,45,111,4,26,5,433,2,6,0,3,4
adairje01,15,1022,366,378,29,499,57,208,1165,19,163,29,4019,31,17,41,30,149
adairji01,1,21,3,9,1,8,0,1,18,1,3,NULL,76,NULL,0,2,NULL,NULL
adamecr01,4,63,20,31,2,69,2,28,166,4,8,4,306,1,5,4,0,6
adamewi01,1,80,34,43,6,95,10,31,85,0,7,5,288,3,1,1,2,6
adamja01,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
adamsac01,6,12,2,9,0,14,0,6,302,0,0,0,99,0,0,8,0,2
adamsau01,3,0,0,0,0,0,0,0,53,0,0,0,1,0,0,0,0,1
adamsau02,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
adamsba01,19,216,75,79,1,194,3,53,482,15,31,1,1019,NULL,1,35,NULL,NULL
adamsbe01,8,137,45,37,9,82,2,23,267,4,17,NULL,678,NULL,1,23,NULL,NULL
adamsbo01,1,1,0,1,0,0,0,0,2,0,0,0,3,NULL,0,0,NULL,NULL
adamsbo02,2,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0
adamsbo03,15,1082,303,591,67,447,37,414,1281,49,188,30,4019,1,17,78,5,62
adamsbo04,1,6,2,2,0,5,2,0,15,0,1,0,24,0,0,0,0,0
adamsbu01,8,532,249,282,12,281,50,234,576,12,96,NULL,2003,NULL,13,42,NULL,35
adamsch01,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
adamsda01,2,8,3,1,0,18,1,3,47,0,0,NULL,55,NULL,0,1,NULL,NULL
adamsda02,1,27,13,10,0,43,2,9,43,1,5,0,140,0,2,1,0,4
adamsdi01,1,18,11,9,0,18,2,2,37,3,2,0,89,NULL,0,2,NULL,0
adamsdo01,1,3,1,1,0,3,0,1,8,0,0,0,14,0,0,0,0,1
adamsge01,1,3,0,0,NULL,1,0,1,4,0,0,NULL,13,NULL,NULL,NULL,NULL,NULL
adamsgl01,8,452,225,152,6,183,34,111,661,5,79,10,1617,8,4,9,19,47
adamshe01,3,88,18,39,4,24,0,22,95,6,8,2,337,NULL,2,3,NULL,5
adamsji01,1,1,0,0,0,NULL,0,0,1,0,0,NULL,4,NULL,0,NULL,NULL,NULL
adamsjo01,1,0,0,0,0,0,0,0,1,0,0,NULL,2,NULL,0,0,NULL,NULL
adamsjo02,3,3,1,0,0,0,0,0,44,0,1,0,10,0,0,1,0,1
adamska01,2,1,0,0,0,16,0,0,30,0,0,NULL,32,NULL,0,1,NULL,NULL
adamsla01,3,36,26,30,11,47,7,14,117,1,5,0,137,0,1,1,1,4
adamsma01,9,539,332,248,4,501,96,139,707,6,113,4,2026,15,10,0,15,38
adamsmi01,3,2,1,1,0,4,0,0,11,1,0,0,6,0,0,1,0,0
adamsmi02,5,23,9,27,2,29,3,32,100,0,5,1,118,0,2,0,0,2
adamsmi03,11,0,0,0,0,0,0,0,410,0,0,0,2,0,0,0,0,0
adamsre01,1,0,0,0,0,0,0,0,8,0,0,NULL,1,NULL,0,0,NULL,0
adamsri01,1,4,0,1,0,5,0,4,11,0,0,NULL,23,NULL,0,0,NULL,NULL
adamsri02,3,53,16,35,3,37,4,10,120,1,5,2,247,3,5,7,0,5
adamsru01,5,218,113,125,15,118,17,85,286,7,46,5,884,2,5,8,11,14
adamsry01,1,25,7,9,0,25,0,6,29,0,4,0,89,0,1,0,0,7
adamssp01,14,1588,394,844,154,223,9,453,1424,48,249,50,5557,NULL,28,136,NULL,14
adamssp02,4,101,38,61,5,50,0,38,180,5,16,10,395,NULL,2,12,NULL,NULL
adamste01,12,4,2,2,0,41,0,7,574,0,1,0,78,0,0,12,1,1
adamswi01,5,9,2,4,0,18,0,3,65,1,1,NULL,88,NULL,0,1,NULL,NULL
adamswi02,2,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
adcocjo01,17,1832,1122,823,20,1059,336,594,1959,35,295,25,6606,55,17,52,35,223
adcocna01,4,0,0,0,0,1,0,0,56,0,0,0,1,0,0,0,0,0
addisbo01,5,150,47,70,8,47,2,37,208,2,22,6,534,NULL,0,5,NULL,9
adducji01,4,34,15,11,0,27,1,2,70,1,8,1,144,0,0,1,3,1
adducji02,4,92,39,48,7,108,5,29,149,4,18,2,391,0,0,3,3,5
addybo01,7,341,167,227,35,9,1,20,274,13,36,17,1231,NULL,NULL,NULL,NULL,0
adenhni01,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
aderhmo01,6,70,32,36,3,29,3,19,106,3,7,1,262,NULL,0,0,NULL,1
adkinde01,3,5,3,2,0,10,1,0,38,0,1,0,22,0,0,1,0,0
adkindi01,1,1,0,2,0,2,0,2,3,0,0,0,7,NULL,0,0,NULL,0
adkindo01,2,2,0,1,0,1,0,0,6,0,0,NULL,12,NULL,0,0,NULL,NULL
adkingr01,2,21,6,9,1,26,0,6,76,3,3,0,116,NULL,1,10,NULL,NULL
adkinhe01,1,2,0,1,0,2,0,0,1,0,0,NULL,5,NULL,0,0,NULL,NULL
adkinjo01,6,0,0,0,0,1,0,0,119,0,0,0,1,0,0,0,0,0
adkinst01,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
adlemti01,2,7,5,2,0,21,0,0,43,0,3,0,50,0,0,5,0,0
adlesda01,6,43,11,9,0,80,1,18,106,1,3,0,256,5,2,2,1,9
adriaeh01,6,191,89,99,17,167,11,63,338,4,48,6,788,4,9,14,9,9
afenitr01,4,15,7,4,0,32,0,5,45,2,2,0,79,0,0,1,1,1
affelje01,15,3,2,0,0,6,0,2,774,0,0,0,17,0,0,0,0,0
agbaybe01,6,299,156,145,16,246,39,139,383,6,57,16,1091,7,15,1,8,31
ageeto01,13,999,433,558,167,918,130,342,1129,27,170,81,3912,26,34,21,15,99
agganha01,2,135,67,65,8,67,11,57,157,9,23,3,517,0,0,7,6,9
aglerjo01,4,185,36,121,38,130,0,131,234,10,22,NULL,751,NULL,1,21,NULL,NULL
agnewsa01,7,314,98,105,29,216,2,102,563,14,41,10,1537,NULL,25,47,NULL,NULL
agostju01,15,2,0,0,0,7,0,1,543,0,0,0,20,0,0,1,0,0
aguaylu01,11,260,109,142,7,220,37,94,568,10,43,5,1104,12,20,14,12,27
aguilch01,4,53,16,26,2,61,3,16,149,2,13,2,230,1,0,2,0,3
aguilje01,5,219,165,122,0,258,51,87,317,2,41,0,829,4,11,0,14,28
aguilri01,19,28,11,12,0,37,3,6,737,0,3,0,139,0,0,16,0,1
aguirha01,16,33,21,14,1,236,0,14,447,1,7,0,388,0,0,24,1,4
ahearch01,1,1,0,1,NULL,0,0,0,1,0,0,NULL,4,NULL,NULL,NULL,NULL,NULL
ahearpa01,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ahmedni01,5,334,149,169,17,297,36,97,455,13,69,16,1458,9,8,10,11,36
aikenwi01,8,675,415,301,3,444,110,319,774,2,125,6,2492,42,18,0,27,87
aingeda01,3,146,37,57,12,128,2,37,211,4,19,5,665,2,4,12,3,16
ainsmed01,17,707,317,299,86,336,22,263,1078,54,108,16,3048,NULL,12,99,NULL,NULL
ainswku01,5,2,0,1,0,8,0,0,30,0,1,0,28,0,0,5,0,0
aitchra01,3,10,2,4,0,17,0,9,34,0,0,0,59,0,0,3,0,0
aitonge01,1,4,1,1,0,NULL,0,4,10,0,0,NULL,17,NULL,0,0,NULL,NULL
akejo01,1,10,2,1,NULL,NULL,0,0,13,1,0,NULL,52,NULL,1,NULL,NULL,NULL
akerfda01,5,1,0,0,0,6,0,0,125,0,0,0,9,0,0,0,0,0
akerja01,14,7,4,3,0,51,0,1,496,0,2,0,92,0,1,10,0,1
akersbi01,4,124,69,64,7,64,11,63,174,9,17,6,475,NULL,1,14,NULL,NULL
akersje01,1,2,0,0,0,NULL,0,0,5,0,0,NULL,6,NULL,0,0,NULL,NULL
albagi01,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
albaljo01,5,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0
albanjo01,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
alberan01,4,1,1,0,0,0,0,0,26,0,0,0,1,0,0,2,0,0
alberbu01,1,5,0,1,0,2,0,0,6,0,1,0,18,0,0,0,0,0
albercy01,1,0,0,0,0,3,0,2,4,0,0,NULL,7,NULL,0,1,NULL,NULL
albergu01,4,84,50,62,27,61,1,52,120,6,10,NULL,426,NULL,9,NULL,NULL,NULL
alberha01,3,35,9,14,2,38,0,4,89,1,5,1,182,0,0,6,0,3
alberjo01,3,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
alberma01,14,3,0,1,0,21,0,0,549,0,1,0,35,0,0,3,0,0
albieoz01,2,229,100,139,22,152,30,57,215,10,49,4,856,0,8,2,5,12
albosed01,2,1,0,0,0,7,0,0,19,0,0,NULL,12,NULL,0,0,NULL,1
albreed01,2,0,0,0,0,1,0,1,3,0,0,0,3,NULL,0,0,NULL,1
albrija01,1,23,5,9,1,11,2,10,41,0,4,NULL,99,NULL,0,3,NULL,2
albural01,8,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0
alburvi01,4,0,0,0,0,1,0,0,102,0,0,0,1,0,0,0,0,0
alcalsa01,3,8,4,6,0,41,1,2,68,0,1,0,71,0,0,7,0,0
alcanar01,4,81,39,51,14,150,11,24,167,3,15,8,428,0,2,3,2,6
alcanis01,3,31,15,15,1,26,6,6,51,0,3,1,115,0,0,0,0,3
alcanra01,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
alcansa01,2,0,0,0,0,8,0,1,14,0,0,0,12,0,0,0,0,0
alcanvi01,2,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
alcarlu01,4,70,29,30,2,58,4,21,115,2,9,2,365,2,0,2,2,7
alcocsc01,1,27,7,12,4,14,0,7,54,2,4,2,156,NULL,1,5,NULL,NULL
alderda01,2,0,0,0,0,2,0,0,16,0,0,NULL,7,NULL,0,0,NULL,0
aldremi01,13,565,271,277,19,381,41,314,930,9,104,18,2147,29,5,14,18,43
aldresc01,12,0,0,0,0,1,0,0,229,0,0,0,1,0,0,0,0,0
aldrico01,2,1,1,1,0,9,0,0,13,1,0,0,18,0,0,0,0,0
aldrija01,4,0,0,0,0,1,0,0,62,0,0,0,1,0,0,0,0,0
aldrivi01,9,133,60,46,2,41,2,10,248,4,14,0,581,NULL,0,32,NULL,NULL
alenoch01,4,67,34,34,3,35,2,31,118,3,11,NULL,320,NULL,1,4,NULL,7
alexabo01,2,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,0,0
